pattern,chunk_size,threads,rep,memread_mb_s,memwrite_mb_s,memcpy_mb_s
sequential,8,1,1,2811.08MB/s,3528.06MB/s,3210.38MB/s
sequential,8,1,2,2846.76MB/s,3566.46MB/s,3251.46MB/s
sequential,8,1,3,2832.89MB/s,3562.31MB/s,3236.58MB/s
sequential,8,1,4,2822.75MB/s,3559.29MB/s,3235.51MB/s
sequential,8,1,5,2826.95MB/s,3544.23MB/s,3222.21MB/s
random,8,1,1,563.644MB/s,565.4MB/s,366.435MB/s
random,8,1,2,555.64MB/s,546.03MB/s,367.207MB/s
random,8,1,3,585.422MB/s,567.143MB/s,367.268MB/s
random,8,1,4,546.772MB/s,561.663MB/s,362.83MB/s
random,8,1,5,561.883MB/s,555.469MB/s,367.333MB/s
sequential,8,2,1,2683.28MB/s,3206.43MB/s,2984.05MB/s
sequential,8,2,2,2647.25MB/s,3195.8MB/s,3007.58MB/s
sequential,8,2,3,2681.8MB/s,3231.46MB/s,3001.33MB/s
sequential,8,2,4,2679.1MB/s,3244.72MB/s,3018.48MB/s
sequential,8,2,5,2675.68MB/s,3201.14MB/s,2984.4MB/s
random,8,2,1,491.619MB/s,497.634MB/s,283.203MB/s
random,8,2,2,469.462MB/s,499.597MB/s,288.19MB/s
random,8,2,3,493.999MB/s,525.627MB/s,292.982MB/s
random,8,2,4,453.458MB/s,497.978MB/s,287.926MB/s
random,8,2,5,456.089MB/s,490.698MB/s,280.434MB/s
sequential,8,4,1,2697.71MB/s,3062.32MB/s,1166.48MB/s
sequential,8,4,2,2667.11MB/s,3044.07MB/s,1165MB/s
sequential,8,4,3,2409.31MB/s,3042.03MB/s,1180.67MB/s
sequential,8,4,4,2513.61MB/s,3014.73MB/s,1166.94MB/s
sequential,8,4,5,2694.36MB/s,3048.56MB/s,1163.54MB/s
random,8,4,1,277.794MB/s,304.185MB/s,130.37MB/s
random,8,4,2,274.002MB/s,297.405MB/s,130.113MB/s
random,8,4,3,277.405MB/s,299.786MB/s,132.643MB/s
random,8,4,4,294.625MB/s,295.977MB/s,132.863MB/s
random,8,4,5,271.775MB/s,297.271MB/s,132.739MB/s
sequential,8,8,1,571.053MB/s,1453.07MB/s,863.161MB/s
sequential,8,8,2,567.295MB/s,1966.39MB/s,1086.55MB/s
sequential,8,8,3,573.046MB/s,1954.22MB/s,1074.7MB/s
sequential,8,8,4,567.317MB/s,1969.43MB/s,1077.85MB/s
sequential,8,8,5,569.359MB/s,1967.05MB/s,1088.88MB/s
random,8,8,1,89.9251MB/s,171.326MB/s,57.5063MB/s
random,8,8,2,90.8994MB/s,169.405MB/s,57.0206MB/s
random,8,8,3,92.1504MB/s,168.457MB/s,57.1664MB/s
random,8,8,4,91.729MB/s,169.633MB/s,57.1878MB/s
random,8,8,5,89.7769MB/s,172.747MB/s,57.0928MB/s
